id;name;magazine;year;rating
1;"""Publication Name 1""";"""Critical Reviews in Oncogenesis""";2012;0.392
2;"""Publication Name 5""";"""Current Pain and Headache Reports""";2014;0.509
3;"""Publication Name 9""";"""Diabetes and Vascular Disease Research""";2008;0.774
4;"""Publication Name 13""";"""Diabetes Care""";2000;0.08
5;"""Publication Name 17""";"""Cutaneous and Ocular Toxicology""";2010;0.815
6;"""Publication Name 21""";"""DARU Journal of Pharmaceutical Sciences""";2008;0.222
7;"""Publication Name 25""";"""Diabetes""";2018;0.7
8;"""Publication Name 29""";"""Diabetes and Vascular Disease Research""";2013;0.782
9;"""Publication Name 33""";"""Diabetes Care""";2010;0.719
10;"""Publication Name 37""";"""Cutaneous and Ocular Toxicology""";2014;0.325
11;"""Publication Name 41""";"""DARU Journal of Pharmaceutical Sciences""";2007;0.435
12;"""Publication Name 45""";"""Deutsche Medizinische Wochenschrift""";2015;0.926
13;"""Publication Name 49""";"""European Journal of Physiotherapy""";2007;0.842
14;"""Publication Name 53""";"""European Medical Journal""";2008;0.272
15;"""Publication Name 57""";"""European Journal of Physiotherapy""";2005;0.378
16;"""Publication Name 61""";"""European Medical Journal""";2013;0.374
17;"""Publication Name 65""";"""European Journal of Physiotherapy""";2008;0.682
18;"""Publication Name 69""";"""European Medical Journal""";2012;0.807
19;"""Publication Name 73""";"""Diabetes""";2003;0.838
20;"""Publication Name 77""";"""Diabetes and Vascular Disease Research""";2019;0.932
21;"""Publication Name 81""";"""Diabetes Care""";2006;0.453
22;"""Publication Name 85""";"""Cutaneous and Ocular Toxicology""";2002;0.042
23;"""Publication Name 89""";"""European Journal of Cancer Prevention""";2016;0.646
24;"""Publication Name 93""";"""European Journal of General Practice""";2005;0.246
25;"""Publication Name 97""";"""European Journal of Medical Research""";2007;0.125
26;"""Publication Name 101""";"""European Journal of Palliative Care""";2007;0.503
27;"""Publication Name 105""";"""European Journal of Physiotherapy""";2003;0.81
28;"""Publication Name 109""";"""European Medical Journal""";2003;0.126
29;"""Publication Name 113""";"""European Radiology""";2014;0.116
30;"""Publication Name 117""";"""Expert Opinion on Biological Therapy""";2011;0.363
31;"""Publication Name 121""";"""Human Reproduction""";2007;0.393
32;"""Publication Name 125""";"""Hypertension""";2004;0.682
33;"""Publication Name 129""";"""Immunogenetics""";2006;0.828
34;"""Publication Name 133""";"""Indian Journal of Anaesthesia""";2000;0.915
35;"""Publication Name 137""";"""Indian Journal of Dermatology""";2003;0.151
36;"""Publication Name 141""";"""Indian Journal of Dermatology. Venereology and Leprology""";2010;0.951
37;"""Publication Name 145""";"""Indian Journal of Gastroenterology""";2013;0.276
